City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,42,7,13,0.7,6,70,83,5
阿克苏地区,78,26,104,0.5,19,114,113,5
阿拉善盟,87,25,51,0.53,12,137,143,10
阿勒泰地区,41,8,23,0.4,6,72,80,2
阿里地区,84,4,15,0.4,12,152,139,4
安康,56,20,59,1.17,38,107,105,11
安庆,36,23,35,0.6,13,72,66,23
鞍山,39,7,19,0.86,28,59,77,11
安顺,70,20,38,0.57,11,119,122,8
安阳,123,39,95,1.02,31,137,184,17
白城,35,11,34,0.45,23,52,67,8
百色,59,18,65,1.05,20,65,72,12
白山,45,19,34,0.65,13,66,88,2
白银,63,20,74,0.65,23,89,112,9
保定,75,19,47,0.32,42,111,128,17
宝鸡,66,23,71,0.67,33,107,118,5
保山,49,8,41,1.3,11,84,97,5
包头,50,14,42,0.73,49,81,98,16
巴彦淖尔,69,16,60,0.37,21,120,121,9
巴中,57,23,61,0.95,47,55,88,5
北海,30,7,29,0.83,18,41,58,7
北京,44,10,39,0.36,39,68,87,2
蚌埠,65,15,39,0.65,27,104,116,19
本溪,37,11,36,0.7,41,30,71,7
毕节,78,20,46,0.75,24,107,132,8
滨州,89,22,47,0.97,16,100,145,6
博州,76,12,99,0.55,21,91,120,4
亳州,82,17,50,0.8,25,104,137,15
沧州,86,38,75,0.37,31,123,142,23
长春,32,10,31,0.82,41,36,62,8
常德,74,32,48,1.02,8,114,127,10
昌都,58,16,64,0.6,19,74,94,7
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,106,28,63,0.97,20,176,165,16
长沙,57,36,62,0.83,32,74,96,10
常熟,38,10,26,0.73,29,88,74,17
长治,100,24,64,1.24,32,142,159,12
常州,32,20,31,0.78,37,50,53,13
朝阳,50,9,49,0.6,27,51,82,9
潮州,75,31,60,1.2,23,70,128,13
承德,40,12,39,0.7,43,23,70,6
成都,91,16,35,0.43,28,136,147,9
郴州,90,33,58,1.36,15,151,146,6
赤峰,34,10,33,1.13,46,31,64,10
池州,52,23,52,0.73,21,62,56,19
重庆,58,19,41,0.72,38,112,108,7
崇左,44,21,37,0.95,13,62,87,8
楚雄州,52,12,33,0.75,14,101,101,15
滁州,49,24,38,0.73,43,68,97,7
大连,73,7,21,0.67,27,82,126,10
大理州,46,12,35,0.75,32,66,91,9
丹东,53,24,50,0.9,24,100,102,7
大庆,32,8,30,0.65,36,39,62,11
大同,53,13,53,0.98,41,79,95,24
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,21,7,20,0.75,14,32,37,19
达州,55,33,58,1.04,50,82,101,11
德宏州,42,16,21,0.9,4,70,83,7
德阳,129,37,80,0.65,26,196,190,10
德州,79,7,27,0.77,20,114,133,8
定西,69,17,85,0.35,21,97,103,4
迪庆州,45,4,29,0.35,9,79,89,7
东莞,143,63,87,1.0,46,230,206,13
东营,75,31,68,0.6,13,97,128,10
鄂尔多斯,76,13,46,0.53,34,105,129,6
恩施州,63,21,26,0.85,21,95,114,6
鄂州,41,16,24,1.0,24,68,81,6
防城港,50,20,49,0.93,22,36,37,11
佛山,70,35,61,0.6,36,121,122,8
抚顺,36,7,23,0.47,31,46,70,12
阜新,40,21,39,0.32,36,38,71,9
阜阳,52,19,37,0.83,38,77,101,8
富阳,18,11,16,0.9,16,39,34,7
福州,88,37,80,0.63,25,119,144,7
抚州,38,26,32,1.1,6,64,68,6
甘南州,49,6,28,0.6,16,97,97,4
赣州,45,21,36,1.08,28,41,89,11
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,47,8,35,0.3,10,81,93,18
广安,59,17,53,0.58,20,93,109,4
广元,47,8,38,0.55,23,84,93,13
广州,99,44,70,0.84,69,144,157,9
贵港,51,24,50,0.7,38,34,66,6
桂林,36,22,35,0.88,18,59,61,11
贵阳,60,36,68,0.62,20,80,91,7
果洛州,81,17,38,1.1,19,132,136,16
固原,70,25,88,0.6,22,98,110,6
哈尔滨,38,11,37,0.6,42,41,67,5
海北州,56,16,28,0.5,13,110,106,3
海东地区,70,20,31,0.5,29,115,122,4
海口,29,9,22,0.5,8,29,57,4
海门,36,12,25,0.6,16,61,71,12
海南州,42,11,0,0.4,6,89,82,11
海西州,62,11,0,0.6,7,112,113,14
哈密地区,62,12,48,0.5,20,94,113,3
邯郸,157,119,192,1.9,44,178,192,28
杭州,22,13,21,1.11,32,41,30,5
汉中,56,20,58,0.6,13,106,106,5
鹤壁,133,54,105,1.27,39,151,195,19
河池,50,31,49,0.93,21,34,49,8
合肥,54,27,55,0.91,45,72,78,6
鹤岗,34,16,33,0.35,12,38,53,5
黑河,40,20,39,0.77,31,16,45,14
衡水,96,20,83,0.47,32,137,153,6
衡阳,44,19,38,0.85,17,86,87,11
和田地区,86,36,120,0.65,9,102,100,18
河源,66,42,79,1.1,28,76,112,5
菏泽,102,33,62,1.07,32,126,161,11
贺州,33,21,26,1.0,19,30,64,5
红河州,61,37,54,0.63,13,96,112,24
淮安,52,20,34,0.62,36,72,101,8
淮北,88,26,44,0.67,28,112,144,11
怀化,55,17,57,1.56,17,70,82,5
淮南,71,28,49,0.77,30,104,123,13
黄冈,47,6,28,1.1,17,86,93,1
黄南州,36,17,31,0.8,39,67,70,10
黄山,26,5,23,0.8,16,49,50,6
黄石,46,31,45,1.18,30,60,72,6
呼和浩特,55,13,45,0.7,27,96,104,11
惠州,109,39,80,0.84,44,152,168,10
葫芦岛,38,11,31,0.57,43,51,75,14
呼伦贝尔,19,9,12,0.3,13,27,36,2
湖州,60,42,54,1.01,47,65,46,12
佳木斯,30,13,29,0.56,22,28,58,4
吉安,48,30,45,0.88,8,85,95,12
江门,55,16,57,0.63,23,63,103,13
江阴,37,20,34,0.53,31,67,72,7
胶南,112,50,90,0.95,44,141,172,6
胶州,100,23,65,1.05,35,138,159,10
焦作,111,78,126,1.03,27,154,171,11
嘉兴,29,17,28,1.1,31,58,43,5
嘉峪关,66,8,40,0.4,21,110,118,13
揭阳,54,23,47,0.83,17,74,103,11
吉林,40,13,39,0.71,40,38,73,7
即墨,94,44,79,0.9,36,142,151,4
济南,99,26,62,0.59,37,126,157,12
金昌,66,17,35,0.37,15,114,118,6
晋城,106,54,123,1.02,23,171,165,23
景德镇,27,14,25,1.0,8,42,52,6
荆门,83,47,113,0.94,36,108,114,17
荆州,77,37,74,1.1,22,121,131,12
金华,41,13,16,0.97,24,51,80,5
济宁,108,26,56,1.07,52,106,167,21
金坛,33,17,29,0.45,8,62,64,20
晋中,78,31,92,1.1,68,108,132,24
锦州,49,34,38,0.6,48,42,77,18
九江,31,17,30,0.54,17,43,47,10
酒泉,63,18,56,0.3,15,112,114,8
鸡西,30,14,28,0.23,11,50,59,3
句容,55,33,57,0.65,41,68,85,9
开封,118,67,132,0.85,32,132,178,19
喀什地区,79,18,105,0.4,5,142,114,6
克拉玛依,59,26,59,0.66,19,100,109,4
克州,76,7,40,0.8,1,159,130,7
库尔勒,66,31,80,1.67,15,106,99,3
昆明,66,17,64,0.71,35,125,118,13
昆山,34,8,15,0.7,16,75,66,8
来宾,28,19,26,0.55,12,36,42,4
莱芜,111,32,73,0.63,23,148,171,12
莱西,120,63,103,2.8,25,200,180,18
莱州,93,37,87,0.95,11,132,150,8
廊坊,59,16,36,0.27,39,108,109,4
兰州,109,34,93,0.78,55,125,168,11
拉萨,63,8,22,0.42,10,114,114,6
乐山,51,25,42,0.48,21,93,100,3
凉山州,59,13,26,0.7,25,98,109,17
连云港,56,22,42,0.72,30,87,105,11
聊城,98,47,89,0.93,31,121,156,10
辽阳,40,10,39,0.57,36,38,71,10
辽源,41,6,11,1.05,38,37,80,11
丽江,45,10,29,0.67,8,84,89,12
临安,31,9,30,1.0,28,43,50,8
临沧,30,10,26,0.8,13,47,59,4
临汾,111,53,127,1.33,36,138,171,26
临夏州,53,5,25,0.55,24,95,102,14
临沂,101,30,91,1.15,42,134,160,16
林芝,52,10,52,0.25,7,95,98,4
林芝地区,18,4,16,0.35,6,51,35,3
丽水,44,9,19,0.67,21,38,86,5
六盘水,64,24,75,0.5,16,72,78,15
柳州,40,25,39,1.04,30,22,37,17
溧阳,33,20,26,0.8,16,60,64,14
陇南,50,16,49,0.4,11,73,88,11
龙岩,48,21,41,0.73,16,75,94,8
娄底,47,21,38,1.62,18,74,93,13
六安,49,22,48,0.7,34,76,90,12
漯河,75,13,34,0.75,28,94,128,21
洛阳,86,31,110,1.5,53,102,141,12
泸州,86,20,36,0.1,30,104,142,6
吕梁,66,18,80,1.55,56,66,104,17
马鞍山,49,19,48,1.0,31,51,67,22
茂名,29,9,28,0.55,14,40,50,14
眉山,87,13,26,0.13,19,142,143,5
梅州,58,39,63,0.97,33,61,95,7
绵阳,73,21,51,0.75,26,120,126,9
牡丹江,48,21,47,0.46,32,35,53,4
南昌,31,11,26,1.04,23,46,60,5
南充,83,21,56,0.48,21,132,138,14
南京,37,18,32,0.93,39,56,72,7
南宁,45,23,44,1.08,31,51,74,8
南平,59,21,65,0.88,24,69,101,11
南通,44,9,21,0.55,20,80,86,13
南阳,112,37,83,1.48,26,155,172,12
那曲地区,59,28,65,0.7,12,74,71,4
内江,77,24,40,0.53,24,155,131,7
宁波,27,14,21,1.19,41,28,52,7
宁德,91,33,80,1.93,30,119,148,8
怒江州,32,10,30,1.05,19,58,63,12
盘锦,39,6,31,0.43,35,49,76,14
攀枝花,39,15,37,1.04,31,74,76,18
蓬莱,118,22,41,0.6,9,117,178,5
平顶山,127,65,96,1.03,32,140,188,16
平度,141,81,119,2.6,28,207,203,14
平凉,58,15,63,0.45,25,92,103,4
萍乡,58,35,63,0.88,19,78,80,12
普洱,28,8,14,0.55,12,49,55,7
莆田,96,36,56,0.56,27,65,154,10
濮阳,111,33,97,1.38,62,101,170,12
黔东南州,50,22,49,0.75,24,55,53,8
黔南州,43,6,15,0.7,5,83,84,20
